Date,Price
18/10/2013,50.11
19/10/2013,46.38
20/10/2013,44.54
21/10/2013,47.42
22/10/2013,46.5
23/10/2013,45.28
24/10/2013,49.7
25/10/2013,45.19
26/10/2013,43.56
27/10/2013,41.92
28/10/2013,46.99
29/10/2013,46.39
30/10/2013,48.62
31/10/2013,47.8
01/11/2013,49.77
02/11/2013,51.59
03/11/2013,44.67
04/11/2013,50.91
05/11/2013,51.88
06/11/2013,51.8
07/11/2013,52.34
08/11/2013,51.15
09/11/2013,49.83
10/11/2013,51.54
11/11/2013,46.74
12/11/2013,48.64
13/11/2013,51.69
14/11/2013,48.52
15/11/2013,52.25
16/11/2013,52.94
17/11/2013,53.6
18/11/2013,55.37
19/11/2013,54.58
20/11/2013,52.32
21/11/2013,53.09
22/11/2013,55.56
23/11/2013,53.13
24/11/2013,51.65
25/11/2013,55.97
26/11/2013,58
27/11/2013,56.64
28/11/2013,57.52
29/11/2013,52.55
30/11/2013,50.86
01/12/2013,54.26
02/12/2013,54.44
03/12/2013,56.41
04/12/2013,55.23
05/12/2013,51.49
06/12/2013,52.89
07/12/2013,51.47
08/12/2013,46.8
09/12/2013,52.9
10/12/2013,54.36
11/12/2013,55.52
12/12/2013,56.48
13/12/2013,54.04
14/12/2013,49.84
15/12/2013,45.72
16/12/2013,49.72
17/12/2013,53.33
18/12/2013,49.84
19/12/2013,48.62
20/12/2013,46.31
21/12/2013,46.23
22/12/2013,44.27
23/12/2013,50.95
24/12/2013,45.16
25/12/2013,48.48
26/12/2013,48.05
27/12/2013,46.29
28/12/2013,48.2
29/12/2013,50.59
30/12/2013,47.67
31/12/2013,45.89
01/01/2014,38.63
02/01/2014,44.55
03/01/2014,44.22
04/01/2014,46.94
05/01/2014,46.3
06/01/2014,44.55
07/01/2014,45.48
08/01/2014,46.29
09/01/2014,47.09
10/01/2014,48.41
11/01/2014,48.32
12/01/2014,47.47
13/01/2014,49.81
14/01/2014,51.39
15/01/2014,47
16/01/2014,48.03
17/01/2014,48.54
18/01/2014,45
19/01/2014,45.69
20/01/2014,52.25
21/01/2014,51.37
22/01/2014,50.46
23/01/2014,48.37
24/01/2014,46.57
25/01/2014,44.35
26/01/2014,45.36
27/01/2014,45.89
28/01/2014,45.94
29/01/2014,45.87
30/01/2014,54.02
31/01/2014,47.84
01/02/2014,45.74
02/02/2014,44.66
03/02/2014,45.01
04/02/2014,47.03
05/02/2014,44.65
06/02/2014,45.37
07/02/2014,46.58
08/02/2014,43.37
09/02/2014,44.67
10/02/2014,47.91
11/02/2014,47.21
12/02/2014,48.66
13/02/2014,44.35
14/02/2014,45.59
15/02/2014,43.15
16/02/2014,44.76
17/02/2014,47.74
18/02/2014,46.71
19/02/2014,46.68
20/02/2014,42.43
21/02/2014,43.31
22/02/2014,42.4
23/02/2014,38.53
24/02/2014,43.9
25/02/2014,41.66
26/02/2014,42.3
27/02/2014,43.06
28/02/2014,47.25
01/03/2014,45.08
02/03/2014,44.25
03/03/2014,46.58
04/03/2014,49.56
05/03/2014,46.75
06/03/2014,45.69
07/03/2014,41.62
08/03/2014,44.82
09/03/2014,44.72
10/03/2014,44.98
11/03/2014,46.03
12/03/2014,47.95
13/03/2014,46.97
14/03/2014,45.71
15/03/2014,44.49
16/03/2014,40.23
17/03/2014,46.56
18/03/2014,44.4
19/03/2014,42.49
20/03/2014,41.7
21/03/2014,42.06
22/03/2014,42.27
23/03/2014,41.91
24/03/2014,44.21
25/03/2014,42.95
26/03/2014,44.84
27/03/2014,42.85
28/03/2014,42.75
29/03/2014,40.51
30/03/2014,40.39
31/03/2014,40.59
01/04/2014,42.5
02/04/2014,42
03/04/2014,41.54
04/04/2014,41.31
05/04/2014,39.29
06/04/2014,39.27
07/04/2014,41.43
08/04/2014,38.5
09/04/2014,41.42
10/04/2014,42.47
11/04/2014,41.77
12/04/2014,40.1
13/04/2014,37.68
14/04/2014,41.18
15/04/2014,43.01
16/04/2014,41.97
17/04/2014,42.42
18/04/2014,42.76
19/04/2014,42
20/04/2014,40.13
21/04/2014,38.13
22/04/2014,41.48
23/04/2014,42.52
24/04/2014,41.83
25/04/2014,41.31
26/04/2014,40.03
27/04/2014,41.9
28/04/2014,42.97
29/04/2014,42.25
30/04/2014,43.62
01/05/2014,41.85
02/05/2014,41.03
03/05/2014,41.05
04/05/2014,39.22
05/05/2014,39.59
06/05/2014,38.9
07/05/2014,39.67
08/05/2014,38.84
09/05/2014,37.65
10/05/2014,38.37
11/05/2014,37.78
12/05/2014,41.98
13/05/2014,41.95
14/05/2014,41.94
15/05/2014,42.15
16/05/2014,39.73
17/05/2014,39.45
18/05/2014,38.47
19/05/2014,41.01
20/05/2014,38.58
21/05/2014,38.24
22/05/2014,39.01
23/05/2014,39.82
24/05/2014,39.26
25/05/2014,40.02
26/05/2014,38.17
27/05/2014,37.76
28/05/2014,39.04
29/05/2014,38.63
30/05/2014,37.68
31/05/2014,37.79
01/06/2014,37.05
02/06/2014,39.01
03/06/2014,37.93
04/06/2014,37.73
05/06/2014,38.11
06/06/2014,35.96
07/06/2014,34.64
08/06/2014,34.29
09/06/2014,37.44
10/06/2014,36.57
11/06/2014,37.04
12/06/2014,37.48
13/06/2014,38.41
14/06/2014,37.79
15/06/2014,36.92
16/06/2014,38.37
17/06/2014,39.37
18/06/2014,37.23
19/06/2014,36.49
20/06/2014,36.5
21/06/2014,35.56
22/06/2014,34.81
23/06/2014,34.95
24/06/2014,34.53
25/06/2014,36.73
26/06/2014,36.17
27/06/2014,36.27
28/06/2014,35.49
29/06/2014,35.98
30/06/2014,36.87
01/07/2014,37.91
02/07/2014,35.56
03/07/2014,34.86
04/07/2014,34.16
05/07/2014,33.09
06/07/2014,34.71
07/07/2014,35.92
08/07/2014,36.06
09/07/2014,33.91
10/07/2014,35.47
11/07/2014,35.78
12/07/2014,33.28
13/07/2014,32.14
14/07/2014,34.39
15/07/2014,34.82
16/07/2014,33.88
17/07/2014,36.21
18/07/2014,34.05
19/07/2014,35.38
20/07/2014,35.64
21/07/2014,37.49
22/07/2014,36.8
23/07/2014,35.34
24/07/2014,35
25/07/2014,36.3
26/07/2014,36.1
27/07/2014,35.29
28/07/2014,37.46
29/07/2014,35.96
30/07/2014,38.23
31/07/2014,36.85
01/08/2014,37.16
02/08/2014,37.37
03/08/2014,34.05
04/08/2014,36.95
05/08/2014,36.21
06/08/2014,35.64
07/08/2014,37.46
08/08/2014,38.83
09/08/2014,35.02
10/08/2014,34.8
11/08/2014,33.85
12/08/2014,35.87
13/08/2014,38.69
14/08/2014,41.02
15/08/2014,38.99
16/08/2014,40.1
17/08/2014,36.08
18/08/2014,37.08
19/08/2014,40.62
20/08/2014,40.07
21/08/2014,39.43
22/08/2014,37.9
23/08/2014,38.96
24/08/2014,38.45
25/08/2014,36.49
26/08/2014,38.94
27/08/2014,38.74
28/08/2014,38.12
29/08/2014,38.55
30/08/2014,39.46
31/08/2014,41.53
01/09/2014,44.52
02/09/2014,44.83
03/09/2014,46.19
04/09/2014,42.71
05/09/2014,43.54
06/09/2014,41.69
07/09/2014,40.3
08/09/2014,41.53
09/09/2014,40.61
10/09/2014,41.15
11/09/2014,39.91
12/09/2014,41.04
13/09/2014,42.29
